step,epoch,t,sample_loss,batch_loss
2235,1,-1,,0.058900
2240,1,-1,,0.046700
2245,1,-1,,0.058400
2250,1,-1,,0.057200
2255,1,-1,,0.049600
2260,1,-1,,0.078300
2265,1,-1,,0.111600
2270,1,-1,,0.050700
2275,1,-1,,0.051200
2280,1,-1,,0.203900
2285,1,-1,,0.280300
2290,1,-1,,0.060700
2295,1,-1,,0.053800
2300,1,-1,,0.087400
2305,1,-1,,0.065400
2310,1,-1,,0.048600
2315,1,-1,,0.059800
2320,1,-1,,0.057300
2325,1,-1,,0.215600
2330,1,-1,,0.054700
2335,1,-1,,0.070200
2340,1,-1,,0.302500
2345,1,-1,,0.090000
2350,1,-1,,0.074300
2355,1,-1,,0.283100
2360,1,-1,,0.060100
2365,1,-1,,0.062200
2370,1,-1,,0.082600
2375,1,-1,,0.054800
2380,1,-1,,0.059300
2385,1,-1,,0.195300
2390,1,-1,,0.056900
2395,1,-1,,0.200900
2400,1,-1,,0.062100
2405,1,-1,,0.048900
2410,1,-1,,0.187300
2415,1,-1,,0.049200
2420,1,-1,,0.054800
2425,1,-1,,0.086600
2430,1,-1,,0.049400
2435,1,-1,,0.222600
2440,1,-1,,0.055500
2445,1,-1,,0.060500
2450,1,-1,,0.112600
2455,1,-1,,0.063300
2460,1,-1,,0.091400
2465,1,-1,,0.056500
2470,1,-1,,0.046700
2475,1,-1,,0.050800
2480,1,-1,,0.063600
2485,1,-1,,0.050300
2490,1,-1,,0.052000
2495,1,-1,,0.044600
2500,1,-1,,0.157200
2505,1,-1,,0.057000
2510,1,-1,,0.048300
2515,1,-1,,0.082800
2520,1,-1,,0.118100
2525,1,-1,,0.061600
2530,1,-1,,0.160500
2535,1,-1,,0.131200
2540,1,-1,,0.072600
2545,1,-1,,0.048700
2550,1,-1,,0.113100
2555,1,-1,,0.081500
2560,1,-1,,0.064200
2565,1,-1,,0.054200
2570,1,-1,,0.050500
2575,1,-1,,0.136600
2580,1,-1,,0.105200
2585,1,-1,,0.240300
2590,1,-1,,0.161700
2595,1,-1,,0.153900
2600,1,-1,,0.096900
2605,1,-1,,0.049400
2610,1,-1,,0.047900
2615,1,-1,,0.054700
2620,1,-1,,0.048700
2625,1,-1,,0.048700
2625,2,-1,,0.056900
2628,2,-1,,0.159900
2633,2,-1,,0.050300
2638,2,-1,,0.079500
2643,2,-1,,0.084300
2648,2,-1,,0.061500
2653,2,-1,,0.050000
2658,2,-1,,0.044700
2663,2,-1,,0.050900
2668,2,-1,,0.220200
2673,2,-1,,0.051200
2678,2,-1,,0.050000
2683,2,-1,,0.040000
2688,2,-1,,0.077000
2693,2,-1,,0.103800
2698,2,-1,,0.052700
2703,2,-1,,0.054000
2708,2,-1,,0.048000
2713,2,-1,,0.052500
2718,2,-1,,0.131800
2723,2,-1,,0.088700
2728,2,-1,,0.053100
2733,2,-1,,0.126200
2738,2,-1,,0.087100
2743,2,-1,,0.081300
2748,2,-1,,0.082600
2753,2,-1,,0.057700
2758,2,-1,,0.052400
2763,2,-1,,0.065400
2768,2,-1,,0.055900
2773,2,-1,,0.072400
2778,2,-1,,0.139000
2783,2,-1,,0.274200
2788,2,-1,,0.053800
2793,2,-1,,0.043800
2798,2,-1,,0.049900
2803,2,-1,,0.227400
2808,2,-1,,0.057800
2813,2,-1,,0.197800
2818,2,-1,,0.048300
2823,2,-1,,0.049100
2828,2,-1,,0.057100
2833,2,-1,,0.052400
2838,2,-1,,0.046300
2843,2,-1,,0.060500
2848,2,-1,,0.417700
2853,2,-1,,0.055800
2858,2,-1,,0.060400
2863,2,-1,,0.129200
2868,2,-1,,0.059900
2873,2,-1,,0.071000
2878,2,-1,,0.149900
2883,2,-1,,0.070900
2888,2,-1,,0.048900
2893,2,-1,,0.113500
2898,2,-1,,0.043400
2903,2,-1,,0.144000
2908,2,-1,,0.050500
2913,2,-1,,0.070300
2918,2,-1,,0.041600
2923,2,-1,,0.053800
2928,2,-1,,0.040600
2933,2,-1,,0.147900
2938,2,-1,,0.086700
2943,2,-1,,0.044200
2948,2,-1,,0.069300
2953,2,-1,,0.243100
